id,Name,Mon,Tues,Weds,Thurs,Fri,Sat,Sun,Address_1,Address_2,Address_3,Address_4,Address_5,Postcode,Tel,type,part_of
3638829,The Co-operative Funeralcare,09:30 - 15:30,09:30 - 15:30,09:30 - 15:30,09:30 - 15:30,09:30 - 15:30,By Appointment,By Appointment,Dene House,Hexham Road,,Throckley,Newcastle Upon Tyne,NE15 9EA,0191 264 1782,funerals,The Co-operative Group
3638830,The Co-operative Funeralcare,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,By Appointment,By Appointment,Bridge Street,,,Blaydon,Tyne & Wear,NE21 4JJ,0191 414 2925,funerals,The Co-operative Group
3638831,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,36-38 Front Street West,,,Bedlington,Northumberland,NE22 5UB,01670 821 111,funerals,The Co-operative Group
3638832,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,Manor Cottage,Forum Way,,Cramlington,Northumberland,NE23 6YD,01670 712 886,funerals,The Co-operative Group
3638833,The Co-operative Funeralcare,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,By Appointment,By Appointment,Crofton House,Waterloo Road,,Blyth,Northumberland,NE24 1BU,01670 352 880,funerals,The Co-operative Group
3638834,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,Algernon House,Algernon Place,,Whitley Bay,Tyne & Wear,NE26 2DT,0191 252 5151,funerals,The Co-operative Group
3638835,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,105-109 High Street West,,,Wallsend,Tyne & Wear,NE28 8JD,0191 262 5100,funerals,The Co-operative Group
3638836,The Co-operative Funeralcare,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,By Appointment,By Appointment,Mill House,Billy Mill Avenue,,North Shields,Tyne & Wear,NE29 0QR,0191 258 0025,funerals,The Co-operative Group
3638837,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,16 Lansdowne Terrace,,,Gosforth,Newcastle Upon Tyne,NE3 1HN,0191 284 4085,funerals,The Co-operative Group
3638838,The Co-operative Funeralcare,09:30 - 13:30,09:30 - 13:30,09:30 - 13:30,09:30 - 13:30,09:30 - 13:30,By Appointment,By Appointment,39 Percy Park Road,,,Tynemouth,Tyne & Wear,NE30 4LR,0191 296 3313,funerals,The Co-operative Group
3638839,The Co-operative Funeralcare (Inc.Donnelly's),09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,9 Ellison Street,,,Hebburn,Tyne & Wear,NE31 1BP,0191 483 6521,funerals,The Co-operative Group
3638840,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,Dunedin House,168 Albert Road,,Jarrow,Tyne & Wear,NE32 5RR,0191 489 7400,funerals,The Co-operative Group
